;;;;Champion;NAME S1;;S1I1;S1I2;S1I3;NAME S2;;S2I1;S2I2;S2I3;NAME S3;;S3I1;S3I2;S3I3;ID S1I1;ID S1I2;ID S1I3;CONC;ID S2I1;ID S2I2;ID S2I3;CONC;ID S3I1;ID S3I2;ID S3I3;CONC;CODE_EN;JSON_EN;CODE_PT;JSON_PT;;
;;;;Shyvana;"""Life Steal / HP Regeneration / Attack Speed""";"""Roubo de Vida / Regeneração de Vida / Velocidade de Ataque""";Hextech Gunblade;Warmog's Armor;Guinsoo's Rageblade;"""Attack Speed / Reflect Damage / HP Regeneration""";"""Velocidade de Ataque / Reflete Dano / Regeneração de Vida""";Guinsoo's Rageblade;Thornmail;Warmog's Armor;"""Splash Damage / HP Regeneration / Attack Speed""";"""Dano em área / Regeneração de Vida / Velocidade de Ataque""";Titanic Hydra;Warmog's Armor;Guinsoo's Rageblade;13;77;23;[13,77,23];23;55;77;[23,55,77];27;77;23;[27,77,23];"""bestSets"": [
        {
          ""name"": ""Life Steal / HP Regeneration / Attack Speed"",
          ""items"": [13,77,23]
        },
        {
          ""name"": ""Attack Speed / Reflect Damage / HP Regeneration"",
          ""items"": [23,55,77]
        },
        {
          ""name"": ""Splash Damage / HP Regeneration / Attack Speed"",
          ""items"": [27,77,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Life Steal / HP Regeneration / Attack Speed"",
          ""items"": [13,77,23]
        },
        {
          ""name"": ""Attack Speed / Reflect Damage / HP Regeneration"",
          ""items"": [23,55,77]
        },
        {
          ""name"": ""Splash Damage / HP Regeneration / Attack Speed"",
          ""items"": [27,77,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Regeneração de Vida / Velocidade de Ataque"",
          ""items"": [13,77,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Reflete Dano / Regeneração de Vida"",
          ""items"": [23,55,77]
        },
        {
          ""name"": ""Dano em área / Regeneração de Vida / Velocidade de Ataque"",
          ""items"": [27,77,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Roubo de Vida / Regeneração de Vida / Velocidade de Ataque"",
          ""items"": [13,77,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Reflete Dano / Regeneração de Vida"",
          ""items"": [23,55,77]
        },
        {
          ""name"": ""Dano em área / Regeneração de Vida / Velocidade de Ataque"",
          ""items"": [27,77,23]
        }
      ]";;
;;;;Swain;"""Burn Damage / Debuffer (Prevent Heal) / Revive / HP Regeneration""";"""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Regeneração de Vida""";Morellonomicon;Guardian Angel;Warmog's Armor;"""Mana Generation / Chance to Spell Crit / HP Regeneration""";"""Geração de Mana / Chance dos Feitiços darem dano Crítico / Regeneração de Vida""";Seraph's Embrace;Jeweled Gauntlet;Warmog's Armor;"""Revive / Magic Resistance / HP Regeneration""";"""Reviver / Resistência Mágica / Regeneração de Vida""";Guardian Angel;Dragon's Claw;Warmog's Armor;37;15;77;[37,15,77];44;39;77;[44,39,77];15;66;77;[15,66,77];"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Revive / HP Regeneration"",
          ""items"": [37,15,77]
        },
        {
          ""name"": ""Mana Generation / Chance to Spell Crit / HP Regeneration"",
          ""items"": [44,39,77]
        },
        {
          ""name"": ""Revive / Magic Resistance / HP Regeneration"",
          ""items"": [15,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Revive / HP Regeneration"",
          ""items"": [37,15,77]
        },
        {
          ""name"": ""Mana Generation / Chance to Spell Crit / HP Regeneration"",
          ""items"": [44,39,77]
        },
        {
          ""name"": ""Revive / Magic Resistance / HP Regeneration"",
          ""items"": [15,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Regeneração de Vida"",
          ""items"": [37,15,77]
        },
        {
          ""name"": ""Geração de Mana / Chance dos Feitiços darem dano Crítico / Regeneração de Vida"",
          ""items"": [44,39,77]
        },
        {
          ""name"": ""Reviver / Resistência Mágica / Regeneração de Vida"",
          ""items"": [15,66,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Regeneração de Vida"",
          ""items"": [37,15,77]
        },
        {
          ""name"": ""Geração de Mana / Chance dos Feitiços darem dano Crítico / Regeneração de Vida"",
          ""items"": [44,39,77]
        },
        {
          ""name"": ""Reviver / Resistência Mágica / Regeneração de Vida"",
          ""items"": [15,66,77]
        }
      ]";;
;;;;Tristana;"""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / Debuffer (Reduce Star)""";"""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Debuffer (Reduz Estrela)""";Red Buff;Hush;Cursed Blade;"""Attack Speed / Debuffer (Prevent Mana) / True Damage (Max Health)""";"""Velocidade de Ataque / Debuffer (Impede de Ganhar mana) / Dano Verdadeiro (Vida Máxima)""";Guinsoo's Rageblade;hush;giant slayer;"""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / True Damage (Max Health)""";"""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Dano Verdadeiro (Vida Máxima)""";Red Buff;Hush;Giant Slayer;57;46;26;[57,46,26];23;46;12;[23,46,12];57;46;12;[57,46,12];"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / Debuffer (Reduce Star)"",
          ""items"": [57,46,26]
        },
        {
          ""name"": ""Attack Speed / Debuffer (Prevent Mana) / True Damage (Max Health)"",
          ""items"": [23,46,12]
        },
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / True Damage (Max Health)"",
          ""items"": [57,46,12]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / Debuffer (Reduce Star)"",
          ""items"": [57,46,26]
        },
        {
          ""name"": ""Attack Speed / Debuffer (Prevent Mana) / True Damage (Max Health)"",
          ""items"": [23,46,12]
        },
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / True Damage (Max Health)"",
          ""items"": [57,46,12]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Debuffer (Reduz Estrela)"",
          ""items"": [57,46,26]
        },
        {
          ""name"": ""Velocidade de Ataque / Debuffer (Impede de Ganhar mana) / Dano Verdadeiro (Vida Máxima)"",
          ""items"": [23,46,12]
        },
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Dano Verdadeiro (Vida Máxima)"",
          ""items"": [57,46,12]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Debuffer (Reduz Estrela)"",
          ""items"": [57,46,26]
        },
        {
          ""name"": ""Velocidade de Ataque / Debuffer (Impede de Ganhar mana) / Dano Verdadeiro (Vida Máxima)"",
          ""items"": [23,46,12]
        },
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Dano Verdadeiro (Vida Máxima)"",
          ""items"": [57,46,12]
        }
      ]";;
;;;;Twisted Fate;"""Splash Damage / Splash Damage / Attack Speed""";"""Dano em área / Dano em área / Velocidade de Ataque""";Statikk Shiv;Statikk Shiv;Guinsoo's Rageblade;"""Attack Speed / Splash Damage / Mana Generation""";"""Velocidade de Ataque / Dano em área / Geração de Mana""";Guinsoo's Rageblade;Statikk Shiv;Spear of Shojin;"""Mana Generation / Mana Generation / Attack Speed""";"""Geração de Mana / Geração de Mana / Velocidade de Ataque""";Spear of Shojin;Spear of Shojin;Guinsoo's Rageblade;24;24;23;[24,24,23];23;24;14;[23,24,14];14;14;23;[14,14,23];"""bestSets"": [
        {
          ""name"": ""Splash Damage / Splash Damage / Attack Speed"",
          ""items"": [24,24,23]
        },
        {
          ""name"": ""Attack Speed / Splash Damage / Mana Generation"",
          ""items"": [23,24,14]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Attack Speed"",
          ""items"": [14,14,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Splash Damage / Splash Damage / Attack Speed"",
          ""items"": [24,24,23]
        },
        {
          ""name"": ""Attack Speed / Splash Damage / Mana Generation"",
          ""items"": [23,24,14]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Attack Speed"",
          ""items"": [14,14,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano em área / Dano em área / Velocidade de Ataque"",
          ""items"": [24,24,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano em área / Geração de Mana"",
          ""items"": [23,24,14]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Velocidade de Ataque"",
          ""items"": [14,14,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano em área / Dano em área / Velocidade de Ataque"",
          ""items"": [24,24,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano em área / Geração de Mana"",
          ""items"": [23,24,14]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Velocidade de Ataque"",
          ""items"": [14,14,23]
        }
      ]";;
;;;;Varus;"""Mirror Attack / Debuffer (Prevent Mana) / Attack Speed""";"""Ataque Espelhado / Debuffer (Impede de Ganhar mana) / Velocidade de Ataque""";Runaan's Hurricane;Hush;Guinsoo's Rageblade;"""Attack Speed / Mana Generation / Critical Damage / Critical Chance""";"""Velocidade de Ataque / Geração de Mana / Dano Crítico / Chance de Crítico""";Guinsoo's Rageblade;Spear of Shojin;Infinity Edge;"""Mirror Attack / Attack Speed / True Damage (Max Health)""";"""Ataque Espelhado / Velocidade de Ataque / Dano Verdadeiro (Vida Máxima)""";Runaan's Hurricane;Guinsoo's Rageblade;Giant Slayer;68;46;23;[68,46,23];23;14;19;[23,14,19];68;23;12;[68,23,12];"""bestSets"": [
        {
          ""name"": ""Mirror Attack / Debuffer (Prevent Mana) / Attack Speed"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / Critical Damage / Critical Chance"",
          ""items"": [23,14,19]
        },
        {
          ""name"": ""Mirror Attack / Attack Speed / True Damage (Max Health)"",
          ""items"": [68,23,12]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mirror Attack / Debuffer (Prevent Mana) / Attack Speed"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / Critical Damage / Critical Chance"",
          ""items"": [23,14,19]
        },
        {
          ""name"": ""Mirror Attack / Attack Speed / True Damage (Max Health)"",
          ""items"": [68,23,12]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Ataque Espelhado / Debuffer (Impede de Ganhar mana) / Velocidade de Ataque"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Dano Crítico / Chance de Crítico"",
          ""items"": [23,14,19]
        },
        {
          ""name"": ""Ataque Espelhado / Velocidade de Ataque / Dano Verdadeiro (Vida Máxima)"",
          ""items"": [68,23,12]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Ataque Espelhado / Debuffer (Impede de Ganhar mana) / Velocidade de Ataque"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Dano Crítico / Chance de Crítico"",
          ""items"": [23,14,19]
        },
        {
          ""name"": ""Ataque Espelhado / Velocidade de Ataque / Dano Verdadeiro (Vida Máxima)"",
          ""items"": [68,23,12]
        }
      ]";;
;;;;Vayne;"""Mirror Attack / Debuffer (Prevent Mana) / Attack Speed""";"""Ataque Espelhado / Debuffer (Impede de Ganhar mana) / Velocidade de Ataque""";Runaan's Hurricane;Hush;Guinsoo's Rageblade;"""Attack Speed / Attack Speed / Buffer (Double Range) / Critical Damage / Critical Chance""";"""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Dano Crítico / Chance de Crítico""";Guinsoo's Rageblade;Rapid Firecannon;Infinity Edge;"""Mirror Attack / True Damage (Max Health) / Attack Speed""";"""Ataque Espelhado / Dano Verdadeiro (Vida Máxima) / Velocidade de Ataque""";Runaan's Hurricane;giant slayer;Guinsoo's Rageblade;68;46;23;[68,46,23];23;22;19;[23,22,19];68;12;23;[68,12,23];"""bestSets"": [
        {
          ""name"": ""Mirror Attack / Debuffer (Prevent Mana) / Attack Speed"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Attack Speed / Attack Speed / Buffer (Double Range) / Critical Damage / Critical Chance"",
          ""items"": [23,22,19]
        },
        {
          ""name"": ""Mirror Attack / True Damage (Max Health) / Attack Speed"",
          ""items"": [68,12,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mirror Attack / Debuffer (Prevent Mana) / Attack Speed"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Attack Speed / Attack Speed / Buffer (Double Range) / Critical Damage / Critical Chance"",
          ""items"": [23,22,19]
        },
        {
          ""name"": ""Mirror Attack / True Damage (Max Health) / Attack Speed"",
          ""items"": [68,12,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Ataque Espelhado / Debuffer (Impede de Ganhar mana) / Velocidade de Ataque"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Dano Crítico / Chance de Crítico"",
          ""items"": [23,22,19]
        },
        {
          ""name"": ""Ataque Espelhado / Dano Verdadeiro (Vida Máxima) / Velocidade de Ataque"",
          ""items"": [68,12,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Ataque Espelhado / Debuffer (Impede de Ganhar mana) / Velocidade de Ataque"",
          ""items"": [68,46,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Velocidade de Ataque / Buffer (Dobra Alcance) / Dano Crítico / Chance de Crítico"",
          ""items"": [23,22,19]
        },
        {
          ""name"": ""Ataque Espelhado / Dano Verdadeiro (Vida Máxima) / Velocidade de Ataque"",
          ""items"": [68,12,23]
        }
      ]";;
;;;;Veigar;"""Mana Generation / Mana Generation / Mana Generation""";"""Geração de Mana / Geração de Mana / Geração de Mana""";Spear of Shojin;Spear of Shojin;Seraph's Embrace;"""Mana Generation / Chance to Spell Crit / Mana Generation""";"""Geração de Mana / Chance dos Feitiços darem dano Crítico / Geração de Mana""";Spear of Shojin;Jeweled Gauntlet;Seraph's Embrace;"""Mana Generation / Attack Speed / Mana Generation""";"""Geração de Mana / Velocidade de Ataque / Geração de Mana""";Seraph's Embrace;Guinsoo's Rageblade;Spear of Shojin;14;14;44;[14,14,44];14;39;44;[14,39,44];44;23;14;[44,23,14];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Mana Generation"",
          ""items"": [14,14,44]
        },
        {
          ""name"": ""Mana Generation / Chance to Spell Crit / Mana Generation"",
          ""items"": [14,39,44]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Mana Generation"",
          ""items"": [44,23,14]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Mana Generation"",
          ""items"": [14,14,44]
        },
        {
          ""name"": ""Mana Generation / Chance to Spell Crit / Mana Generation"",
          ""items"": [14,39,44]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Mana Generation"",
          ""items"": [44,23,14]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Geração de Mana"",
          ""items"": [14,14,44]
        },
        {
          ""name"": ""Geração de Mana / Chance dos Feitiços darem dano Crítico / Geração de Mana"",
          ""items"": [14,39,44]
        },
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Geração de Mana"",
          ""items"": [44,23,14]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Geração de Mana"",
          ""items"": [14,14,44]
        },
        {
          ""name"": ""Geração de Mana / Chance dos Feitiços darem dano Crítico / Geração de Mana"",
          ""items"": [14,39,44]
        },
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Geração de Mana"",
          ""items"": [44,23,14]
        }
      ]";;
;;;;Vi;"""HP Regeneration / HP Regeneration / Revive""";"""Regeneração de Vida / Regeneração de Vida / Reviver""";Warmog's Armor;Warmog's Armor;Guardian Angel;"""Debuffer (Slow) / Magic Resistance / HP Regeneration""";"""Debuffer (Lentidão) / Resistência Mágica / Regeneração de Vida""";Frozen Heart;Dragon's Claw;Warmog's Armor;"""Splash Damage / HP Regeneration / HP Regeneration""";"""Dano em área / Regeneração de Vida / Regeneração de Vida""";Titanic Hydra;Warmog's Armor;Warmog's Armor;77;77;15;[77,77,15];45;66;77;[45,66,77];27;77;77;[27,77,77];"""bestSets"": [
        {
          ""name"": ""HP Regeneration / HP Regeneration / Revive"",
          ""items"": [77,77,15]
        },
        {
          ""name"": ""Debuffer (Slow) / Magic Resistance / HP Regeneration"",
          ""items"": [45,66,77]
        },
        {
          ""name"": ""Splash Damage / HP Regeneration / HP Regeneration"",
          ""items"": [27,77,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""HP Regeneration / HP Regeneration / Revive"",
          ""items"": [77,77,15]
        },
        {
          ""name"": ""Debuffer (Slow) / Magic Resistance / HP Regeneration"",
          ""items"": [45,66,77]
        },
        {
          ""name"": ""Splash Damage / HP Regeneration / HP Regeneration"",
          ""items"": [27,77,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Regeneração de Vida / Regeneração de Vida / Reviver"",
          ""items"": [77,77,15]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Resistência Mágica / Regeneração de Vida"",
          ""items"": [45,66,77]
        },
        {
          ""name"": ""Dano em área / Regeneração de Vida / Regeneração de Vida"",
          ""items"": [27,77,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Regeneração de Vida / Regeneração de Vida / Reviver"",
          ""items"": [77,77,15]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Resistência Mágica / Regeneração de Vida"",
          ""items"": [45,66,77]
        },
        {
          ""name"": ""Dano em área / Regeneração de Vida / Regeneração de Vida"",
          ""items"": [27,77,77]
        }
      ]";;
;;;;Volibear;"""Attack Speed / Buffer (Double Range) / Attack Speed / Buffer (Double Range) / Debuffer (Prevent Mana)""";"""Velocidade de Ataque / Buffer (Dobra Alcance) / Velocidade de Ataque / Buffer (Dobra Alcance) / Debuffer (Impede de Ganhar mana)""";Rapid Firecannon;Rapid Firecannon;Hush;"""Attack Speed / Buffer (Double Range) / True Damage (Max Health) / Debuffer (Disarm)""";"""Velocidade de Ataque / Buffer (Dobra Alcance) / Dano Verdadeiro (Vida Máxima) / Debuffer (Desarmar)""";Rapid Firecannon;Giant Slayer;Sword Breaker;"""Attack Speed / Buffer (Double Range) / Burn Damage / Debuffer (Prevent Heal) / Debuffer (Disarm)""";"""Velocidade de Ataque / Buffer (Dobra Alcance) / Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Desarmar)""";Rapid Firecannon;Red Buff;Sword Breaker;22;22;46;[22,22,46];22;12;56;[22,12,56];22;57;56;[22,57,56];"""bestSets"": [
        {
          ""name"": ""Attack Speed / Buffer (Double Range) / Attack Speed / Buffer (Double Range) / Debuffer (Prevent Mana)"",
          ""items"": [22,22,46]
        },
        {
          ""name"": ""Attack Speed / Buffer (Double Range) / True Damage (Max Health) / Debuffer (Disarm)"",
          ""items"": [22,12,56]
        },
        {
          ""name"": ""Attack Speed / Buffer (Double Range) / Burn Damage / Debuffer (Prevent Heal) / Debuffer (Disarm)"",
          ""items"": [22,57,56]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Attack Speed / Buffer (Double Range) / Attack Speed / Buffer (Double Range) / Debuffer (Prevent Mana)"",
          ""items"": [22,22,46]
        },
        {
          ""name"": ""Attack Speed / Buffer (Double Range) / True Damage (Max Health) / Debuffer (Disarm)"",
          ""items"": [22,12,56]
        },
        {
          ""name"": ""Attack Speed / Buffer (Double Range) / Burn Damage / Debuffer (Prevent Heal) / Debuffer (Disarm)"",
          ""items"": [22,57,56]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Velocidade de Ataque / Buffer (Dobra Alcance) / Velocidade de Ataque / Buffer (Dobra Alcance) / Debuffer (Impede de Ganhar mana)"",
          ""items"": [22,22,46]
        },
        {
          ""name"": ""Velocidade de Ataque / Buffer (Dobra Alcance) / Dano Verdadeiro (Vida Máxima) / Debuffer (Desarmar)"",
          ""items"": [22,12,56]
        },
        {
          ""name"": ""Velocidade de Ataque / Buffer (Dobra Alcance) / Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Desarmar)"",
          ""items"": [22,57,56]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Velocidade de Ataque / Buffer (Dobra Alcance) / Velocidade de Ataque / Buffer (Dobra Alcance) / Debuffer (Impede de Ganhar mana)"",
          ""items"": [22,22,46]
        },
        {
          ""name"": ""Velocidade de Ataque / Buffer (Dobra Alcance) / Dano Verdadeiro (Vida Máxima) / Debuffer (Desarmar)"",
          ""items"": [22,12,56]
        },
        {
          ""name"": ""Velocidade de Ataque / Buffer (Dobra Alcance) / Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Desarmar)"",
          ""items"": [22,57,56]
        }
      ]";;
;;;;Warwick;"""Revive / HP Regeneration / HP Regeneration""";"""Reviver / Regeneração de Vida / Regeneração de Vida""";Guardian Angel;Warmog's Armor;Warmog's Armor;"""Debuffer (Slow) / HP Regeneration / Revive""";"""Debuffer (Lentidão) / Regeneração de Vida / Reviver""";Frozen Heart;Warmog's Armor;Guardian Angel;"""HP Regeneration / HP Regeneration / Splash Damage""";"""Regeneração de Vida / Regeneração de Vida / Dano em área""";Warmog's Armor;Warmog's Armor;Titanic Hydra;15;77;77;[15,77,77];45;77;15;[45,77,15];77;77;27;[77,77,27];"""bestSets"": [
        {
          ""name"": ""Revive / HP Regeneration / HP Regeneration"",
          ""items"": [15,77,77]
        },
        {
          ""name"": ""Debuffer (Slow) / HP Regeneration / Revive"",
          ""items"": [45,77,15]
        },
        {
          ""name"": ""HP Regeneration / HP Regeneration / Splash Damage"",
          ""items"": [77,77,27]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Revive / HP Regeneration / HP Regeneration"",
          ""items"": [15,77,77]
        },
        {
          ""name"": ""Debuffer (Slow) / HP Regeneration / Revive"",
          ""items"": [45,77,15]
        },
        {
          ""name"": ""HP Regeneration / HP Regeneration / Splash Damage"",
          ""items"": [77,77,27]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reviver / Regeneração de Vida / Regeneração de Vida"",
          ""items"": [15,77,77]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Regeneração de Vida / Reviver"",
          ""items"": [45,77,15]
        },
        {
          ""name"": ""Regeneração de Vida / Regeneração de Vida / Dano em área"",
          ""items"": [77,77,27]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reviver / Regeneração de Vida / Regeneração de Vida"",
          ""items"": [15,77,77]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Regeneração de Vida / Reviver"",
          ""items"": [45,77,15]
        },
        {
          ""name"": ""Regeneração de Vida / Regeneração de Vida / Dano em área"",
          ""items"": [77,77,27]
        }
      ]";;
;;;;Yasuo;"""Mana Generation / Magic Resistance / Splash Damage""";"""Geração de Mana / Resistência Mágica / Dano em área""";Seraph's Embrace;Dragon's Claw;Luden's Echo;"""Attack Speed / Mana Generation / HP Regeneration""";"""Velocidade de Ataque / Geração de Mana / Regeneração de Vida""";Guinsoo's Rageblade;Seraph's Embrace;Warmog's Armor;"""Mana Generation / Critical Damage / Critical Chance / Life Steal""";"""Geração de Mana / Dano Crítico / Chance de Crítico / Roubo de Vida""";Seraph's Embrace;Infinity Edge;Hextech Gunblade;44;66;34;[44,66,34];23;44;77;[23,44,77];44;19;13;[44,19,13];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Magic Resistance / Splash Damage"",
          ""items"": [44,66,34]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / HP Regeneration"",
          ""items"": [23,44,77]
        },
        {
          ""name"": ""Mana Generation / Critical Damage / Critical Chance / Life Steal"",
          ""items"": [44,19,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Magic Resistance / Splash Damage"",
          ""items"": [44,66,34]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / HP Regeneration"",
          ""items"": [23,44,77]
        },
        {
          ""name"": ""Mana Generation / Critical Damage / Critical Chance / Life Steal"",
          ""items"": [44,19,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Resistência Mágica / Dano em área"",
          ""items"": [44,66,34]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Regeneração de Vida"",
          ""items"": [23,44,77]
        },
        {
          ""name"": ""Geração de Mana / Dano Crítico / Chance de Crítico / Roubo de Vida"",
          ""items"": [44,19,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Resistência Mágica / Dano em área"",
          ""items"": [44,66,34]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Regeneração de Vida"",
          ""items"": [23,44,77]
        },
        {
          ""name"": ""Geração de Mana / Dano Crítico / Chance de Crítico / Roubo de Vida"",
          ""items"": [44,19,13]
        }
      ]";;
